,,phi_1,theta_1,theta_2,theta_3,theta_4,theta_5,sigma,mu,init_y_1,logL,logL_birth,nlive
labels,,$\phi_1$,$\theta_1$,$\theta_2$,$\theta_3$,$\theta_4$,$\theta_5$,$\sigma$,$\mu$,$y_1$,$\ln\mathcal{L}$,$\ln\mathcal{L}_\mathrm{birth}$,$n_\mathrm{live}$
,weights,,,,,,,,,,,,
0,0.0,0.31580603,-1.6350539,-0.14193508,1.2219632,-0.2998825,-0.14403439,1.2799153,6.223261,4.7736278,-4.027418e+15,,1000
1,0.0,0.40302947,-0.64623785,0.11314556,-0.7148848,-0.1601711,0.4095875,6.612403,9.389831,6.462026,-4.237371e+13,,999
2,0.0,0.061182313,-0.12197853,-0.81382066,-0.09685911,0.28527123,-0.24986438,11.999058,12.863845,9.535144,-1.697079e+13,,998
3,0.0,0.21928735,-0.36246213,-1.0548894,0.11931216,0.6368793,-0.33744943,9.312288,5.4753566,-1.4931109,-1.1531098e+13,,997
4,0.0,-0.16967356,-1.1525648,0.43569413,-0.10999039,-0.67438537,0.5300148,3.1348314,8.480172,5.5961323,-6.595977e+12,,996
5,0.0,-0.509884,-0.68695813,-0.37429932,0.3535593,-0.5729859,0.31802022,6.2689834,8.203979,2.4805768,-1.508881e+12,,995
6,0.0,-0.8384252,-0.67282426,0.6661757,-0.4688793,0.042630643,-0.49095243,6.386912,7.7076907,-7.958531,-4.477251e+11,,994
7,0.0,-0.4985697,-0.7973821,-1.0019298,0.90309805,0.18958467,-0.22210865,5.394309,-7.023688,6.245737,-4.2303344e+11,,993
8,0.0,0.42385373,-0.56047255,-0.11340555,-0.31572607,-0.20319803,0.19959474,7.372274,2.6853454,2.6858182,-3.384136e+11,,992
9,0.0,0.5113565,-0.53150696,-0.46077314,-0.46113932,-0.048003294,0.51760644,7.6400194,6.0493665,-4.5084023,-3.08501e+11,,991
10,0.0,0.22193517,-1.4138274,0.4372172,0.43961298,-0.39471105,0.10607601,1.976269,9.805618,9.622991,-2.7918067e+11,,990
11,0.0,-0.88735896,-0.3702913,-0.5399023,-0.3193722,0.48174563,-0.19046079,9.230775,-6.612917,-0.9475576,-2.615276e+11,,989
12,0.0,-0.52475655,-0.9747551,-0.2322101,0.70773786,-0.46555656,0.011788534,4.1619577,2.6929095,1.1257901,-2.3972962e+11,,988
13,0.0,-0.5618873,-0.12820263,-1.1658736,0.17910287,0.21865135,-0.05452032,11.925207,7.4859004,1.7645217,-2.1517789e+11,,987
14,0.0,0.4586796,-0.17712754,-0.31118453,-0.25834677,-0.18665071,-0.05532594,11.352449,-5.8636613,4.428255,-2.1371637e+11,,986
15,0.0,-0.29114604,-0.88163257,-0.060465474,0.45148197,-0.33112183,-0.028081613,4.7825737,9.761551,-0.62276,-1.7324065e+11,,985
16,0.0,-0.7458936,-1.3602316,0.8694525,-0.21882167,-0.2881486,0.16962159,2.1822207,-3.6732075,5.554749,-1.6602315e+11,,984
17,0.0,0.113162704,-0.7073524,-0.15874538,0.36438462,-0.007413851,-0.38523766,6.1012073,-12.183989,10.322992,-1.5481419e+11,,983
